               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,             0.03682,            0.047753,           0.0097012,             0.44833,             0.49386,             0.44103,             0.26237,            0.033024,            0.033967,           0.0092338,           0.0057488,           0.0057488,           0.0057488
                  54,            0.036621,            0.047946,             0.00954,             0.45597,             0.48793,             0.44175,             0.26266,            0.033014,            0.033956,           0.0092224,           0.0056236,           0.0056236,           0.0056236
                  55,            0.036735,            0.048141,           0.0094949,             0.45782,             0.48718,             0.44235,             0.26296,            0.033003,            0.033939,           0.0092075,           0.0054987,           0.0054987,           0.0054987
                  56,            0.036476,            0.047363,           0.0094586,                0.46,             0.48636,             0.44291,             0.26333,            0.032992,            0.033908,           0.0091901,           0.0053743,           0.0053743,           0.0053743
                  57,            0.036455,            0.047459,           0.0094994,             0.45598,             0.48931,             0.44335,             0.26366,            0.032978,            0.033884,           0.0091721,           0.0052505,           0.0052505,           0.0052505
                  58,            0.036507,            0.047702,           0.0093561,             0.46253,             0.48569,             0.44403,             0.26416,            0.032966,            0.033857,           0.0091554,           0.0051274,           0.0051274,           0.0051274
                  59,            0.036521,            0.047619,           0.0092428,             0.46021,             0.48846,             0.44445,             0.26444,            0.032964,            0.033838,           0.0091413,           0.0050052,           0.0050052,           0.0050052
                  60,            0.036408,            0.047448,           0.0093361,             0.45932,             0.48946,             0.44495,             0.26499,             0.03295,             0.03382,           0.0091268,            0.004884,            0.004884,            0.004884
                  61,            0.036361,             0.04758,           0.0091581,              0.4575,             0.49134,             0.44538,             0.26543,            0.032929,            0.033794,           0.0091118,           0.0047639,           0.0047639,           0.0047639
                  62,            0.036291,            0.047694,           0.0088237,             0.46668,             0.48399,              0.4459,             0.26584,            0.032909,            0.033766,           0.0090949,            0.004645,            0.004645,            0.004645
                  63,            0.036406,            0.047482,           0.0091788,             0.45343,             0.49448,             0.44643,             0.26598,            0.032902,            0.033738,            0.009081,           0.0045275,           0.0045275,           0.0045275
                  64,            0.036129,            0.047398,           0.0090112,             0.45187,             0.49611,             0.44693,             0.26619,            0.032898,            0.033713,           0.0090648,           0.0044114,           0.0044114,           0.0044114
                  65,            0.036029,            0.046652,           0.0088814,              0.4526,             0.49597,             0.44732,             0.26642,             0.03289,            0.033677,           0.0090506,           0.0042969,           0.0042969,           0.0042969
                  66,            0.036039,            0.046844,           0.0088965,             0.44788,             0.50076,             0.44776,             0.26663,             0.03288,            0.033653,           0.0090386,            0.004184,            0.004184,            0.004184
                  67,             0.03591,            0.046814,           0.0089716,             0.45009,             0.49901,             0.44805,             0.26694,            0.032875,            0.033631,           0.0090295,            0.004073,            0.004073,            0.004073
                  68,            0.035848,            0.047246,           0.0087637,              0.4413,              0.5062,              0.4485,             0.26721,            0.032866,            0.033607,           0.0090196,           0.0039638,           0.0039638,           0.0039638
                  69,            0.035765,            0.046781,           0.0086886,             0.43611,             0.51137,             0.44899,             0.26751,            0.032861,            0.033582,           0.0090083,           0.0038567,           0.0038567,           0.0038567
                  70,            0.035783,            0.047363,           0.0085537,             0.43375,             0.51361,             0.44931,             0.26785,            0.032848,            0.033566,           0.0089976,           0.0037517,           0.0037517,           0.0037517
                  71,            0.035627,            0.046414,           0.0085892,             0.45209,             0.49824,             0.44988,             0.26827,            0.032837,            0.033548,           0.0089847,           0.0036489,           0.0036489,           0.0036489
                  72,            0.035709,            0.046667,           0.0085902,             0.44412,             0.50592,              0.4503,             0.26849,            0.032822,            0.033519,           0.0089774,           0.0035484,           0.0035484,           0.0035484
                  73,            0.035413,             0.04674,           0.0083935,             0.44419,             0.50554,             0.45057,             0.26882,            0.032812,            0.033494,           0.0089672,           0.0034503,           0.0034503,           0.0034503
                  74,            0.035626,            0.047581,            0.008583,             0.44298,             0.50708,             0.45091,              0.2691,            0.032801,            0.033474,           0.0089567,           0.0033548,           0.0033548,           0.0033548
                  75,            0.035479,            0.046736,           0.0083235,             0.44974,             0.50078,              0.4511,              0.2693,            0.032788,            0.033448,            0.008948,           0.0032618,           0.0032618,           0.0032618
                  76,            0.035416,            0.046518,           0.0084204,             0.44807,              0.5025,             0.45167,              0.2693,            0.032784,            0.033428,           0.0089347,           0.0031716,           0.0031716,           0.0031716
                  77,            0.035269,            0.046186,           0.0081957,             0.45702,             0.49647,             0.45215,             0.26961,            0.032771,            0.033405,           0.0089239,           0.0030841,           0.0030841,           0.0030841
                  78,            0.035307,            0.046179,           0.0082132,             0.45871,             0.49555,              0.4525,              0.2696,            0.032756,             0.03338,           0.0089147,           0.0029996,           0.0029996,           0.0029996
                  79,            0.035274,            0.045846,           0.0081923,              0.4484,             0.50395,             0.45284,             0.26972,            0.032759,             0.03336,           0.0089043,           0.0029179,           0.0029179,           0.0029179
                  80,            0.035137,            0.046249,           0.0080823,             0.45068,             0.50249,             0.45314,             0.26996,            0.032748,             0.03334,           0.0088935,           0.0028394,           0.0028394,           0.0028394
                  81,            0.035133,            0.046514,           0.0081292,             0.44859,             0.50493,             0.45327,             0.27014,            0.032736,            0.033326,           0.0088856,           0.0027639,           0.0027639,           0.0027639
                  82,            0.035044,            0.046288,            0.007958,             0.44645,             0.50645,             0.45363,             0.27038,            0.032722,            0.033315,           0.0088807,           0.0026917,           0.0026917,           0.0026917
                  83,            0.034877,             0.04603,           0.0078012,             0.44378,              0.5094,             0.45395,             0.27048,            0.032732,            0.033304,           0.0088753,           0.0026227,           0.0026227,           0.0026227
                  84,            0.034923,             0.04581,           0.0078112,             0.44443,              0.5089,             0.45425,             0.27076,            0.032729,            0.033288,           0.0088668,            0.002557,            0.002557,            0.002557
                  85,            0.034775,             0.04537,           0.0077259,             0.44291,             0.51013,             0.45435,             0.27092,            0.032726,            0.033274,            0.008865,           0.0024948,           0.0024948,           0.0024948
                  86,            0.034622,            0.045519,           0.0078273,             0.44096,             0.51141,             0.45438,             0.27125,            0.032726,            0.033265,           0.0088652,            0.002436,            0.002436,            0.002436
                  87,            0.034624,            0.045178,           0.0077458,             0.44693,             0.50612,             0.45452,              0.2714,            0.032721,            0.033259,           0.0088678,           0.0023807,           0.0023807,           0.0023807
                  88,            0.034765,            0.045749,           0.0075271,             0.45086,             0.50255,             0.45503,             0.27171,            0.032712,            0.033248,           0.0088659,            0.002329,            0.002329,            0.002329
                  89,            0.034692,             0.04556,           0.0075933,             0.44527,             0.50681,              0.4551,              0.2717,            0.032699,            0.033239,            0.008867,           0.0022809,           0.0022809,           0.0022809
                  90,            0.034529,            0.045029,           0.0074633,             0.44426,             0.50698,             0.45536,             0.27186,            0.032682,            0.033228,           0.0088679,           0.0022365,           0.0022365,           0.0022365
                  91,            0.034583,            0.045287,           0.0074276,             0.42929,             0.52143,             0.45572,             0.27204,            0.032679,            0.033212,           0.0088685,           0.0021958,           0.0021958,           0.0021958
                  92,            0.034591,            0.045097,           0.0074923,             0.42903,             0.52175,             0.45589,             0.27222,            0.032689,            0.033198,           0.0088676,           0.0021588,           0.0021588,           0.0021588
                  93,            0.034427,            0.045295,           0.0075333,             0.42804,             0.52178,             0.45595,             0.27214,            0.032687,            0.033196,           0.0088757,           0.0021257,           0.0021257,           0.0021257
                  94,            0.034623,            0.045281,            0.007213,             0.44422,              0.5064,              0.4561,             0.27214,            0.032683,            0.033189,            0.008882,           0.0020963,           0.0020963,           0.0020963
                  95,            0.034463,            0.044804,           0.0073133,             0.43762,             0.51247,             0.45616,             0.27246,             0.03268,            0.033185,            0.008894,           0.0020709,           0.0020709,           0.0020709
                  96,            0.034347,            0.044821,            0.007419,             0.44275,             0.50677,             0.45647,             0.27248,             0.03267,            0.033174,           0.0089037,           0.0020492,           0.0020492,           0.0020492
                  97,            0.034406,            0.045197,           0.0072377,             0.42239,             0.52729,             0.45624,             0.27246,            0.032665,            0.033167,           0.0089161,           0.0020315,           0.0020315,           0.0020315
                  98,            0.034173,            0.044515,           0.0071559,             0.43572,              0.5129,             0.45637,             0.27257,            0.032666,             0.03316,           0.0089262,           0.0020178,           0.0020178,           0.0020178
                  99,            0.034356,            0.044967,           0.0072169,             0.43432,             0.51423,             0.45645,             0.27273,            0.032653,            0.033161,           0.0089377,           0.0020079,           0.0020079,           0.0020079
